Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
,,,,,,calibration,0,32,2,788,11,V,0,left,0.43845099801546894,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,32,2,788,12,J,0,right,0.6931542060046922,1,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,32,2,788,13,C,0,left,0.575325106998207,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,32,2,788,,,,,,,,0.06250000000000001,0.25,0.8888888888888888,0.1111111111111111,0.0,0.11111111111111116,0.7277990396183808,1,8,0,0,0,1,2,4,9,0,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,Calibration,0,,2,788,,,,,,,,,,,,,,,,,,,,,,,,,3,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,1,X,0,left,0.9540992120164447,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,2,N,0,left,0.5413880700070877,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,3,X,1,right,0.6048105619847775,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,4,F,0,left,0.4321149260213133,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,5,X,1,left,0.7797779180109501,1,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,6,V,0,left,0.5434389190049842,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,7,F,0,right,0.5812028800137341,1,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,8,C,0,left,0.5315037200052757,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,9,S,0,left,0.580016987019917,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,10,N,0,left,0.6908874030050356,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,11,J,0,left,0.44233579200226814,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,12,N,1,left,0.52401220597676,1,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,13,2,917,,,,,,,,0.11111111111111113,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.0,0.11111111111111116,0.6004657162557123,2,8,0,0,0,1,3,3,9,0,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,Calibration,0,,2,917,,,,,,,,,,,,,,,,,,,,,,,,,4,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,1,S,0,left,0.9317457930010278,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,2,S,0,left,0.44515830199816264,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,3,Q,0,left,0.6582744749903213,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,4,J,0,left,0.4625905220163986,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,5,X,0,left,0.5443637819844298,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,6,J,1,left,0.3734314660250675,1,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,7,V,0,left,0.6144874859892298,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
,,,,,,calibration,0,23,2,1068,8,J,1,right,0.6256540249742102,0,0,,,,,,,,,,,,,,,,,,,93,150124,21,Female,1,2024/03/15_10:26:35,YZ,None,
