Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate
,,,,,,calibration,0,12,2,361,12,Q,0,right,0.795352793,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,13,J,1,left,0.796666348,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,14,Q,1,left,0.878628532,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,15,F,0,right,0.611502588,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,16,Q,1,left,0.484683416,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,17,V,0,right,0.664334737,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,18,S,0,right,0.561787983,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,12,2,361,,,,,,,,1,1,0,1,0,1,0.613157076,5,0,0,0,0,13,18,5,13,0,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,Calibration,0,,2,361,,,,,,,,,,,,,,,,,,,,,,,,,4,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,1,Q,0,right,0.4849267,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,2,J,0,right,0.33042391,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,3,Q,1,left,0.484781949,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,4,J,1,left,0.342228137,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,5,V,0,right,0.561507626,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,6,C,0,right,0.381896721,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,7,F,0,right,0.545645973,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,8,C,1,left,0.69514312,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,9,X,0,right,0.480114528,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,10,C,1,left,0.455258177,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,11,V,0,right,0.629961426,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,12,X,0,right,nan,0,1,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,13,Q,0,right,0.578329708,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,14,S,0,right,0.911757551,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,15,Q,1,left,0.45352965,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,16,J,0,right,0.811633971,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,17,Q,1,left,0.51753619,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,18,N,0,right,0.46587457,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,19,X,0,right,0.677469608,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,35,2,303,,,,,,,,1,1,0,1,0.052631579,0.947368421,0.544889973,6,0,0,1,1,12,18,6,13,0,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,Calibration,0,,2,303,,,,,,,,,,,,,,,,,,,,,,,,,5,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,1,V,0,right,0.263552081,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,2,C,0,right,0.303457748,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,3,N,0,right,0.613714707,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,4,Q,0,right,0.46808114,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,5,X,0,right,0.828262336,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,6,Q,1,left,0.678068221,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,7,C,0,left,nan,0,1,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,8,Q,1,left,0.728357033,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,9,C,1,left,0.711596618,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,250,10,V,0,right,0.418430778,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
