"","PID","Gender","Age","CueMapping","Phase","Block","TrialN","NbackLevel","ISI","ISI_calibrated","CaliEnd_A_measure","Trial_A_measure","Trial_ACC","Trial_RT","CueLearning","TrialDemandLearning","cue_i_on_zyg_values","cue_i_on_zyg_zvalues","cue_e_on_zyg_values","cue_e_on_zyg_zvalues","cue_i_on_scr_values","cue_i_on_scr_zvalues","cue_e_on_scr_values","cue_e_on_scr_zvalues","PhaseType","Choice","ChoiceDemand","TaskDemand","ChoiceRT","cue_e_true_zyg_values","cue_e_true_zyg_zvalues","cue_e_true_cor_values","cue_e_true_cor_zvalues","cue_e_true_scr_values","cue_e_true_scr_zvalues","OfflineRatingTimePoint","TrialDemand","OfflineRating","OfflineRatingRT","cue_i_off_zyg_values","cue_i_off_zyg_zvalues","cue_i_off_cor_values","cue_i_off_cor_zvalues","cue_i_off_scr_values","cue_i_off_scr_zvalues","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRatingRT","BAI_bis","BAI_bas_d","BAI_bas_rr","BAI_bas_fs","NFC","BFI_ext","BFI_agr","BFI_con","BFI_neu","BFI_open","UPPS_lps","UPPS_lpm","UPPS_pu","UPPS_ss"
"034.3",34,"Female",29,"B","LEARNING",1,3,1,2583,,,,,,"cue2.png","Easy",5.56153515822353e-05,0.197157519180889,1.64670513468947e-06,-0.186362129721456,1.158,-0.542742815945322,1.449,-0.0375195330903644,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.4",34,"Female",29,"B","LEARNING",1,4,3,2583,,,,,,"cue1.png","Hard",-4.88048645425985e-05,-0.45631463100142,4.45215757343756e-05,0.532803122190934,1.588,0.0992177411384286,1.132,-0.611523120951185,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.5",34,"Female",29,"B","LEARNING",1,5,3,2583,,,,,,"cue1.png","Hard",0.000101241154332865,0.482688353474549,7.39835883971874e-05,1.02698667218519,,,1.588,0.21417289187069,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.6",34,"Female",29,"B","LEARNING",1,6,1,2583,,,,,,"cue2.png","Easy",3.30969705537054e-05,0.0562352398040096,3.93786417564428e-05,0.446537686095695,-0.00849999999999995,-2.28424744347601,1.586,0.210551418130243,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.7",34,"Female",29,"B","LEARNING",1,7,3,2583,,,,,,"cue1.png","Hard",-1.65920229969374e-05,-0.254723448666001,-6.6136321551764e-05,-1.32332643493161,1.448,-0.109792672795816,,,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.8",34,"Female",29,"B","LEARNING",1,8,3,2583,,,,,,"cue1.png","Hard",-6.474397557843e-05,-0.556063181110983,-1.86448321805852e-05,-0.526723939353041,2.048,0.785966244065233,,,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.9",34,"Female",29,"B","LEARNING",1,9,1,2583,,,,,,"cue2.png","Easy",-2.73292637346244e-05,-0.321918174479375,8.62315128478744e-05,1.23242826418959,,,,,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.10",34,"Female",29,"B","LEARNING",1,10,1,2583,,,,,,"cue2.png","Easy",-6.28360471397419e-05,-0.544123174228283,3.83477528872155e-05,0.429245984850608,0.753,-1.14738008482653,1.898,0.775501321639947,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.11",34,"Female",29,"B","LEARNING",1,11,3,2583,,,,,,"cue1.png","Hard",5.33218953990113e-05,0.182804841136164,,,,,,,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.12",34,"Female",29,"B","LEARNING",1,12,1,2583,,,,,,"cue2.png","Easy",2.94177910762409e-05,0.0332105668693061,,,,,-0.0905,-2.8251489447993,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
