"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
45,0.016199857,"hard","mid",29,"no_demand_aversive","demand_avoid",0,0.016199857,0,0.5,0.5
45,0.015961232,"easy","mid",30,"no_demand_aversive","demand_avoid",1,0.015961232,0,0.5,0.5
45,0.017128426,"hard","mid",31,"no_demand_aversive","demand_avoid",0,0.017128426,0,0.5,0.5
45,0.010102007,"easy","mid",32,"no_demand_aversive","demand_avoid",1,0.010102007,0,0.5,0.5
45,0.016778731,"easy","mid",33,"no_demand_aversive","demand_avoid",1,0.016778731,0,0.5,0.5
45,0.016647566,"easy","mid",34,"no_demand_aversive","demand_avoid",1,0.016647566,0,0.5,0.5
45,0.016135412,"easy","mid",35,"no_demand_aversive","demand_avoid",1,0.016135412,0,0.5,0.5
45,0.015293163,"hard","mid",36,"no_demand_aversive","demand_avoid",0,0.015293163,0,0.5,0.5
45,0.017499656,"easy","mid",37,"no_demand_aversive","demand_avoid",1,0.017499656,0,0.5,0.5
45,0.006651114,"easy","mid",38,"no_demand_aversive","demand_avoid",1,0.006651114,0,0.5,0.5
45,0.017134883,"hard","mid",39,"no_demand_aversive","demand_avoid",0,0.017134883,0,0.5,0.5
45,0.017520924,"easy","mid",40,"no_demand_aversive","demand_avoid",1,0.017520924,0,0.5,0.5
45,0.017429906,"easy","mid",41,"no_demand_aversive","demand_avoid",1,0.017429906,0,0.5,0.5
45,0.017211892,"hard","mid",2,"no_demand_aversive","demand_avoid",0,0.017211892,0,0.5,0.5
45,0.01707418,"easy","mid",3,"no_demand_aversive","demand_avoid",1,0.01707418,0,0.5,0.5
45,0.017431671,"hard","mid",4,"no_demand_aversive","demand_avoid",0,0.017431671,0,0.5,0.5
45,0.016982262,"hard","mid",5,"no_demand_aversive","demand_avoid",0,0.016982262,0,0.5,0.5
45,0.015827448,"easy","mid",6,"no_demand_aversive","demand_avoid",1,0.015827448,0,0.5,0.5
45,0.016117004,"easy","mid",7,"no_demand_aversive","demand_avoid",1,0.016117004,0,0.5,0.5
45,0.008917836,"hard","mid",8,"no_demand_aversive","demand_avoid",0,0.008917836,0,0.5,0.5
45,0.015827464,"easy","mid",9,"no_demand_aversive","demand_avoid",1,0.015827464,0,0.5,0.5
45,0.016974693,"easy","mid",10,"no_demand_aversive","demand_avoid",1,0.016974693,0,0.5,0.5
45,0.017400504,"easy","mid",50,"no_demand_aversive","demand_avoid",1,0.017400504,0,0.5,0.5
45,0.017678125,"easy","mid",42,"no_demand_aversive","demand_avoid",1,0.017678125,0,0.5,0.5
45,0.015771231,"hard","mid",43,"no_demand_aversive","demand_avoid",0,0.015771231,0,0.5,0.5
45,0.017371276,"hard","mid",44,"no_demand_aversive","demand_avoid",0,0.017371276,0,0.5,0.5
45,0.015341897,"hard","mid",45,"no_demand_aversive","demand_avoid",0,0.015341897,0,0.5,0.5
45,0.017649372,"easy","mid",46,"no_demand_aversive","demand_avoid",1,0.017649372,0,0.5,0.5
45,0.015614182,"easy","mid",47,"no_demand_aversive","demand_avoid",1,0.015614182,0,0.5,0.5
45,0.017054575,"hard","mid",48,"no_demand_aversive","demand_avoid",0,0.017054575,0,0.5,0.5
45,0.017523713,"easy","mid",49,"no_demand_aversive","demand_avoid",1,0.017523713,0,0.5,0.5
47,0.0170113320000382,"easy","mid",44,"demand_aversive","demand_avoid",1,0.0170113320000382,0,0.5,0.5
47,0.0165820359998179,"easy","mid",45,"demand_aversive","demand_avoid",1,0.0165820359998179,0,0.5,0.5
47,0.0173404540000774,"hard","mid",46,"demand_aversive","demand_avoid",0,0.0173404540000774,0,0.5,0.5
47,0.0162326560002839,"hard","mid",43,"demand_aversive","demand_avoid",0,0.0162326560002839,0,0.5,0.5
47,0.0166806580000411,"easy","mid",17,"demand_aversive","demand_avoid",1,0.0166806580000411,0,0.5,0.5
47,0.0169981670005654,"hard","mid",18,"demand_aversive","demand_avoid",0,0.0169981670005654,0,0.5,0.5
47,0.0172114300003159,"easy","mid",19,"demand_aversive","demand_avoid",1,0.0172114300003159,0,0.5,0.5
47,0.0171447250013443,"hard","mid",47,"demand_aversive","demand_avoid",0,0.0171447250013443,0,0.5,0.5
47,0.0174457699995401,"hard","mid",16,"demand_aversive","demand_avoid",0,0.0174457699995401,0,0.5,0.5
47,0.0157669029995304,"easy","mid",30,"demand_aversive","demand_avoid",1,0.0157669029995304,0,0.5,0.5
47,0.0163408090011217,"easy","mid",31,"demand_aversive","demand_avoid",1,0.0163408090011217,0,0.5,0.5
47,0.0167045180005516,"hard","mid",32,"demand_aversive","demand_avoid",0,0.0167045180005516,0,0.5,0.5
47,0.0170657580001716,"hard","mid",20,"demand_aversive","demand_avoid",0,0.0170657580001716,0,0.5,0.5
47,0.0166295800008811,"hard","mid",21,"demand_aversive","demand_avoid",0,0.0166295800008811,0,0.5,0.5
47,0.0165026100003161,"easy","mid",22,"demand_aversive","demand_avoid",1,0.0165026100003161,0,0.5,0.5
47,0.0167294959992432,"easy","mid",23,"demand_aversive","demand_avoid",1,0.0167294959992432,0,0.5,0.5
47,0.0164784879998479,"easy","mid",24,"demand_aversive","demand_avoid",1,0.0164784879998479,0,0.5,0.5
47,0.0167940350002027,"hard","mid",25,"demand_aversive","demand_avoid",0,0.0167940350002027,0,0.5,0.5
47,0.0163916460005566,"hard","mid",26,"demand_aversive","demand_avoid",0,0.0163916460005566,0,0.5,0.5
47,0.0175580869999976,"easy","mid",27,"demand_aversive","demand_avoid",1,0.0175580869999976,0,0.5,0.5
47,0.0168709119989217,"easy","mid",28,"demand_aversive","demand_avoid",1,0.0168709119989217,0,0.5,0.5
47,0.016503869999724,"easy","mid",29,"demand_aversive","demand_avoid",1,0.016503869999724,0,0.5,0.5
47,0.0164317819999269,"hard","mid",2,"demand_aversive","demand_avoid",0,0.0164317819999269,0,0.5,0.5
